"Region","Complex","Site","Rookery","Source","Lon","Lat","Spp","Comment"
"BC","BUCKLE GRP","BUCKLE GRP",NA,"DFO_BCMCA",-127.64435,50.93857,"HS",NA
"BC","BURIAL ISLET","BURIAL ISLET",NA,"DFO_BCMCA",-123.56198,48.76938,"HS",NA
"BC","C BOUNDARY BAY SITE E","C BOUNDARY BAY SITE E",NA,"DFO_BCMCA",-122.9272,49.052,"HS",NA
"BC","C BOUNDARY BAY SITE H","C BOUNDARY BAY SITE H",NA,"DFO_BCMCA",-122.9374,49.0327,"HS",NA
"BC","C ROBERTS BANK SITE A","C ROBERTS BANK SITE A",NA,"DFO_BCMCA",-123.1708,49.0711,"HS",NA
"BC","C ROBERTS BANK SITE B","C ROBERTS BANK SITE B",NA,"DFO_BCMCA",-123.2254,49.0555,"HS",NA
"BC","C ROBERTS BANK SITE I","C ROBERTS BANK SITE I",NA,"DFO_BCMCA",-123.22936,49.0656,"HS",NA
"BC","C STURGEON BANK SITE B","C STURGEON BANK SITE B",NA,"DFO_BCMCA",-123.2183,49.1817,"HS",NA
"BC","C STURGEON BANK SITE C","C STURGEON BANK SITE C",NA,"DFO_BCMCA",-123.2166,49.1866,"HS",NA
"BC","C STURGEON BANK SITE E","C STURGEON BANK SITE E",NA,"DFO_BCMCA",-123.21759,49.16905,"HS",NA
"BC","CADBORO POINT","CADBORO POINT",NA,"DFO_BCMCA",-123.26393,48.45138,"HS",NA
"BC","CANOE ISLET","CANOE ISLET",NA,"DFO_BCMCA",-123.5874,49.0284,"HS",NA
"BC","CANOE ISLETS","CANOE ISLETS",NA,"DFO_BCMCA",-126.69255,50.66408,"HS",NA
"BC","CANOE ROCK","CANOE ROCK",NA,"DFO_BCMCA",-123.33874,48.7339,"HS",NA
"BC","CAPE FREEMAN","CAPE FREEMAN",NA,"DFO_BCMCA",-131.31022,52.14712,"HS",NA
"BC","CAPE GURNEY","CAPE GURNEY",NA,"DFO_BCMCA",-124.60017,49.5296,"HS",NA
"BC","CAPE MUDGE","CAPE MUDGE",NA,"DFO_BCMCA",-125.19052,49.99639,"HS",NA
"BC","CAPE NADEN","CAPE NADEN",NA,"DFO_BCMCA",-132.5792,54.1213,"HS",NA
"BC","CAPE SCOTT","CAPE SCOTT",NA,"ODFW",-128.41983,50.785,"SSL",NA
"BC","CAPE ST JAMES","CAPE ST JAMES","FALSE","NMML ARCHIVE",-130.98183,51.91117,"SSL",NA
"BC","CARDALE POINT","CARDALE POINT",NA,"DFO_BCMCA",-123.6087,49.0164,"HS",NA
"BC","CARDIGAN ROCKS","CARDIGAN ROCKS",NA,"DFO_BCMCA",-127.6463,50.8754,"HS",NA
"BC","CARLOS ISLAND","CARLOS ISLAND",NA,"DFO_BCMCA",-123.69549,49.15944,"HS",NA
"BC","CARMANAH POINT","CARMANAH POINT",NA,"ODFW",-124.76133,48.61533,"SSL",NA
"BC","CECIL POINT","CECIL POINT",NA,"DFO_BCMCA",-130.1448,53.9553,"HS",NA
"BC","CENTRE ISLET","CENTRE ISLET",NA,"DFO_BCMCA",-125.08974,50.12508,"HS",NA
"BC","CHAIN ISLANDS","CHAIN ISLANDS",NA,"DFO_BCMCA",-123.4683,48.8467,"HS",NA
"BC","CHAIN ISLETS","CHAIN ISLETS",NA,"DFO_BCMCA",-123.2639,48.421,"HS",NA
"BC","CHAIN ISLETS","CHAIN ISLETS",NA,"WDFW",-123.2638,48.4207,"HS",NA
"BC","CHANNEL ISLANDS","CHANNEL ISLANDS",NA,"DFO_BCMCA",-123.3792,48.8018,"HS",NA
"BC","CHARLES ISLAND","CHARLES ISLAND",NA,"DFO_BCMCA",-123.43395,48.90195,"HS",NA
"BC","CHARLES ROCKS","CHARLES ROCKS",NA,"DFO_BCMCA",-123.3788,48.8443,"HS",NA
"BC","CHATHAM ISLANDS","CHATHAM ISLANDS",NA,"DFO_BCMCA",-123.238,48.4333,"HS",NA
"BC","CHEARNLEY INLET","CHEARNLEY INLET",NA,"ODFW",-130.98333,54.43333,"SSL",NA
"BC","CHRISTIE ISLET","CHRISTIE ISLET",NA,"DFO_BCMCA",-123.30067,49.5,"HS",NA
"BC","CLAYOQUOT","CLAYOQUOT",NA,"ODFW",-126.11,49.208,"SSL",NA
"BC","CLELAND ISLAND","CLELAND ISLAND",NA,"DFO_BCMCA",-126.0908,49.16832,"HS",NA
"BC","CLERKE REEFS","CLERKE REEFS",NA,"DFO_BCMCA",-127.87777,50.20153,"HS",NA
"BC","CLIVE ISLAND","CLIVE ISLAND",NA,"DFO_BCMCA",-123.4043,48.7019,"HS",NA
"BC","COACH ISLETS","COACH ISLETS",NA,"DFO_BCMCA",-126.71105,50.71327,"HS",NA
"BC","COLE ROCK","COLE ROCK",NA,"DFO_BCMCA",-127.44723,50.0244,"HS",NA
"BC","COLLISHAW POINT","COLLISHAW POINT",NA,"DFO_BCMCA",-124.6958,49.553,"HS",NA
"BC","COMOX HARBOR","COMOX HARBOR",NA,"DFO_BCMCA",-124.9403,49.6599,"HS",NA
"BC","CONE HEAD","CONE HEAD","FALSE","NMML ARCHIVE",-132.72117,53.37617,"SSL",NA
"BC","CONOVER COVE REEFS","CONOVER COVE REEFS",NA,"DFO_BCMCA",-123.5437,48.9367,"HS",NA
"BC","COOPER REEF","COOPER REEF",NA,"DFO_BCMCA",-123.2754,48.6714,"HS",NA
"BC","CORDOVA BAY REEF","CORDOVA BAY REEF",NA,"DFO_BCMCA",-123.35675,48.5155,"HS",NA
"BC","CORDOVA SPIT","CORDOVA SPIT",NA,"DFO_BCMCA",-123.3701,48.5986,"HS",NA
"BC","COTTAM REEF","COTTAM REEF",NA,"DFO_BCMCA",-124.1807,49.3135,"HS",NA
"BC","COWICHAN BAY","COWICHAN BAY",NA,"DFO_BCMCA",-123.62604,48.75113,"MIXED",NA
"BC","COWICHAN HEAD","COWICHAN HEAD",NA,"DFO_BCMCA",-123.36386,48.56862,"HS",NA
"BC","CRESCENT BAY ISLET","CRESCENT BAY ISLET",NA,"DFO_BCMCA",-124.62865,49.75828,"HS",NA
"BC","CRIDGE ISLAND","CRIDGE ISLAND",NA,"DFO_BCMCA",-130.47085,54.29004,"HS",NA
"BC","CROAKER POINT","CROAKER POINT",NA,"DFO_BCMCA",-123.2012,48.7749,"HS",NA
"BC","CROFTON REEF","CROFTON REEF",NA,"DFO_BCMCA",-123.62992,48.87952,"HS",NA
"BC","CUMSHEWA ISLAND","CUMSHEWA ISLAND",NA,"DFO_BCMCA",-131.6029,53.0311,"HS",NA
"BC","CUMSHEWA ROCKS","CUMSHEWA ROCKS",NA,"DFO_BCMCA",-131.5856,53.0197,"HS",NA
"BC","CYRIL ROCK","CYRIL ROCK",NA,"DFO_BCMCA",-124.60648,49.8045,"HS",NA
"BC","D ARCY ISLAND","D ARCY ISLAND",NA,"WDFW",-123.277,48.5541,"HS",NA
"BC","DANGER REEFS","DANGER REEFS",NA,"DFO_BCMCA",-123.7131,49.0532,"HS",NA
"BC","DARK ISLAND","DARK ISLAND",NA,"DFO_BCMCA",-125.77762,49.18273,"HS",NA
"BC","DEEP BAY","DEEP BAY",NA,"ODFW",-124.715,49.472,"SSL",NA
"BC","DEGNEN BAY REEF","DEGNEN BAY REEF",NA,"DFO_BCMCA",-123.71189,49.13185,"HS",NA
"BC","DENMAN ISLAND","DENMAN ISLAND",NA,"ODFW",-124.799,49.548,"SSL",NA
"BC","DERBY POINT","DERBY POINT",NA,"DFO_BCMCA",-123.9806,49.5101,"HS",NA
"BC","DIBUXANTE POINT","DIBUXANTE POINT",NA,"DFO_BCMCA",-123.71559,49.12664,"HS",NA
"BC","DINNER POINT","DINNER POINT",NA,"DFO_BCMCA",-123.32718,48.83416,"HS",NA
"BC","DINNER ROCK","DINNER ROCK",NA,"DFO_BCMCA",-124.72179,49.94658,"HS",NA
"BC","DOCK ISLAND","DOCK ISLAND",NA,"DFO_BCMCA",-123.3558,48.6717,"HS",NA
"BC","DOUGLAS ISLAND","DOUGLAS ISLAND",NA,"DFO_BCMCA",-124.1508,49.3104,"HS",NA
"BC","DUNSTERVILLE ISLET","DUNSTERVILLE ISLET",NA,"DFO_BCMCA",-125.15848,50.14392,"HS",NA
"BC","DWIGHT ROCK","DWIGHT ROCK",NA,"DFO_BCMCA",-131.6705,52.8264,"HS",NA
"BC","DYER ROCKS","DYER ROCKS",NA,"DFO_BCMCA",-123.4782,48.626,"HS",NA
"BC","E ABERDEEN POINT BAR","E ABERDEEN POINT BAR",NA,"DFO_BCMCA",-129.8644,54.2198,"HS",NA
"BC","E AYTON ISLAND BAR","E AYTON ISLAND BAR",NA,"DFO_BCMCA",-129.7124,54.2016,"HS",NA
"BC","E BOUNDARY BAY SITE A","E BOUNDARY BAY SITE A",NA,"DFO_BCMCA",-122.875,49.08,"HS",NA
"BC","E BOUNDARY BAY SITE B","E BOUNDARY BAY SITE B",NA,"DFO_BCMCA",-122.8987,49.0815,"HS",NA
"BC","E BOUNDARY BAY SITE C","E BOUNDARY BAY SITE C",NA,"DFO_BCMCA",-122.8917,49.07,"HS",NA
"BC","E BOUNDARY BAY SITE D","E BOUNDARY BAY SITE D",NA,"DFO_BCMCA",-122.9303,49.0663,"HS",NA
"BC","E BOWYER ISLAND","E BOWYER ISLAND",NA,"DFO_BCMCA",-123.2614,49.4268,"HS",NA
"BC","E BRETHOUR ISLAND REEF","E BRETHOUR ISLAND REEF",NA,"DFO_BCMCA",-123.3113,48.6761,"HS",NA
"BC","E CAPE COCKBURN ROCK","E CAPE COCKBURN ROCK",NA,"DFO_BCMCA",-124.1843,49.668,"HS",NA
"BC","E CAPE LAZO REEF","E CAPE LAZO REEF",NA,"DFO_BCMCA",-124.8533,49.7024,"HS",NA
"BC","E CAPE ROGER CURTIS","E CAPE ROGER CURTIS",NA,"DFO_BCMCA",-123.4081,49.3344,"HS",NA
"BC","E CARNATION ISLAND BAR","E CARNATION ISLAND BAR",NA,"DFO_BCMCA",-129.6016,54.1939,"HS",NA
"BC","E CHADS ISLAND","E CHADS ISLAND",NA,"DFO_BCMCA",-123.3727,48.7354,"HS",NA
"BC","E COWLEY ISLANDS","E COWLEY ISLANDS",NA,"DFO_BCMCA",-132.3623,53.6924,"HS",NA
"BC","E CULLITE CREEK","E CULLITE CREEK",NA,"DFO_BCMCA",-124.5942,48.5642,"HS",NA
"BC","E D ARCY ISLAND","E D ARCY ISLAND",NA,"DFO_BCMCA",-123.27204,48.56686,"HS",NA
"BC","E DAVID COVE REEF","E DAVID COVE REEF",NA,"DFO_BCMCA",-123.2696,48.8667,"HS",NA
"BC","E DAWSON ISLANDS ROCK","E DAWSON ISLANDS ROCK",NA,"DFO_BCMCA",-132.336,53.7163,"HS",NA
"BC","E DE COURCY ISLAND REEF","E DE COURCY ISLAND REEF",NA,"DFO_BCMCA",-123.746,49.1078,"HS",NA
"BC","E DE HORSEY ISLAND BAR","E DE HORSEY ISLAND BAR",NA,"DFO_BCMCA",-130.1747,54.1003,"HS",NA
"BC","E DE LA BECHE INLET ROCK","E DE LA BECHE INLET ROCK",NA,"DFO_BCMCA",-131.6521,52.5401,"HS",NA
"BC","E DESERTERS ISLAND","E DESERTERS ISLAND",NA,"DFO_BCMCA",-127.46537,50.87728,"HS",NA
"BC","E E COPPER ISLAND REEFS","E E COPPER ISLAND REEFS",NA,"DFO_BCMCA",-131.1692,52.3575,"HS",NA
"BC","E ELLEN BAY","E ELLEN BAY",NA,"DFO_BCMCA",-123.3628,48.81853,"HS",NA
"BC","E FERNIE ISLAND","E FERNIE ISLAND",NA,"DFO_BCMCA",-123.391,48.6805,"HS",NA
"BC","E GIBSON ISLAND ROCK","E GIBSON ISLAND ROCK",NA,"DFO_BCMCA",-130.1384,53.9271,"HS",NA
"BC","E HALL ISLAND","E HALL ISLAND",NA,"DFO_BCMCA",-123.5992,48.984,"HS",NA
"BC","E HUDSON ISLAND","E HUDSON ISLAND",NA,"DFO_BCMCA",-123.67549,48.96491,"HS",NA
"BC","E HUXLEY ISLAND REEF","E HUXLEY ISLAND REEF",NA,"DFO_BCMCA",-131.36205,52.45132,"HS",NA
"BC","E JAMES ISLAND","E JAMES ISLAND",NA,"DFO_BCMCA",-123.3317,48.6017,"HS",NA
"BC","E JEDEDIAH ISLAND","E JEDEDIAH ISLAND",NA,"DFO_BCMCA",-124.19342,49.504,"HS",NA
"BC","E JEDEDIAH ISLAND ROCK","E JEDEDIAH ISLAND ROCK",NA,"DFO_BCMCA",-124.18751,49.49441,"HS",NA
"BC","E JENKINS ISLAND ROCK","E JENKINS ISLAND ROCK",NA,"DFO_BCMCA",-124.28039,49.44889,"HS",NA
"BC","E JERVIS ISLAND REEF","E JERVIS ISLAND REEF",NA,"DFO_BCMCA",-124.2313,49.5125,"HS",NA
"BC","E KENDRICK ISLAND ROCK","E KENDRICK ISLAND ROCK",NA,"DFO_BCMCA",-123.6859,49.1223,"HS",NA
"BC","E LASQUETI ROCK","E LASQUETI ROCK",NA,"DFO_BCMCA",-124.1701,49.4665,"HS",NA
"BC","E LOST ISLANDS","E LOST ISLANDS",NA,"DFO_BCMCA",-131.4922,52.8042,"HS",NA
"BC","E MARINA ISLAND","E MARINA ISLAND",NA,"PROVINCE OF BC",-125.02784,50.06091,"HS",NA
"BC","E MOUND ISLAND REEF","E MOUND ISLAND REEF",NA,"DFO_BCMCA",-126.6181,50.59395,"HS",NA
"BC","E MURCHISON ISLAND","E MURCHISON ISLAND",NA,"DFO_BCMCA",-131.4389,52.5962,"HS",NA
"BC","E N PENDER ISLAND","E N PENDER ISLAND",NA,"DFO_BCMCA",-123.255,48.7936,"HS",NA
"BC","E NOEL BAY ROCK","E NOEL BAY ROCK",NA,"DFO_BCMCA",-123.6035,49.0424,"HS",NA
"BC","E NORMAN POINT","E NORMAN POINT",NA,"DFO_BCMCA",-124.6533,49.4933,"HS",NA
"BC","E PACHENA POINT","E PACHENA POINT",NA,"DFO_BCMCA",-125.0364,48.7145,"HS",NA
"BC","E RANKINE ISLAND","E RANKINE ISLAND",NA,"DFO_BCMCA",-131.0434,52.26135,"HS",NA
"BC","E REEF ISLAND ROCKS","E REEF ISLAND ROCKS",NA,"DFO_BCMCA",-131.4851,52.8732,"HS",NA
"BC","E REPULSE POINT","E REPULSE POINT",NA,"DFO_BCMCA",-124.7263,49.4833,"HS",NA
"BC","E SAMUEL ISLAND REEF","E SAMUEL ISLAND REEF",NA,"DFO_BCMCA",-123.2002,48.8281,"HS",NA
"BC","E SAN SIMON POINT REEF","E SAN SIMON POINT REEF",NA,"DFO_BCMCA",-124.0925,48.4317,"HS",NA
"BC","E SEAL ISLETS REEF","E SEAL ISLETS REEF",NA,"DFO_BCMCA",-124.8425,49.6165,"HS",NA
"BC","E SIDNEY ISLAND REEF","E SIDNEY ISLAND REEF",NA,"DFO_BCMCA",-123.3086,48.6224,"HS",NA
"BC","E STANLEY POINT","E STANLEY POINT",NA,"DFO_BCMCA",-123.30872,48.82298,"HS",NA
"BC","E SWAN ISLAND REEF","E SWAN ISLAND REEF",NA,"DFO_BCMCA",-131.28883,52.3352,"HS",NA
"BC","E THOMAS ISLAND REEF","E THOMAS ISLAND REEF",NA,"DFO_BCMCA",-127.4582,50.05768,"HS",NA
"BC","E TRAIL ISLANDS","E TRAIL ISLANDS",NA,"DFO_BCMCA",-123.78096,49.45325,"HS",NA
"BC","E WALLIS POINT ROCK","E WALLIS POINT ROCK",NA,"DFO_BCMCA",-124.1036,49.2706,"HS",NA
"BC","E WINDSOR POINT BAR","E WINDSOR POINT BAR",NA,"DFO_BCMCA",-129.7883,54.2105,"HS",NA
"BC","E YOUNG POINT ROCK","E YOUNG POINT ROCK",NA,"DFO_BCMCA",-124.1673,49.4404,"HS",NA
"BC","EAGLE ISLAND","EAGLE ISLAND",NA,"DFO_BCMCA",-123.27552,49.35379,"HS",NA
"BC","EASTERN BAY","BOUNDARY BAY OFF RUNWAY",NA,"WDFW",-122.9895,49.0407,"HS",NA
"BC","EASTERN BAY","E BOUNDARY BAY MUD BAY",NA,"WDFW",-122.9262,49.0471,"HS",NA
"BC","EASTERN BAY","E BOUNDARY BAY MUD BAY",NA,"WDFW",-122.8964,49.0699,"HS",NA
"BC","EASTERN BAY","ROCKS OFF KWOMAIS POINT",NA,"WDFW",-122.8753,49.0289,"HS",NA
"BC","EASTERN BAY","W BOUNDARY BAY",NA,"WDFW",-123.005,49.0438,"HS",NA
"BC","ECSTALL ISLAND","ECSTALL ISLAND",NA,"DFO_BCMCA",-129.9516,54.1601,"HS",NA
"BC","ECSTALL RIVER ISLAND","ECSTALL RIVER ISLAND",NA,"DFO_BCMCA",-129.84,54.0333,"HS",NA
"BC","ECSTALL SEAL BAR","ECSTALL SEAL BAR",NA,"DFO_BCMCA",-129.7885,54.0025,"HS",NA
"BC","EGERTON ROCK","EGERTON ROCK",NA,"DFO_BCMCA",-123.94623,49.48747,"HS",NA
"BC","ELBOW POINT","ELBOW POINT",NA,"DFO_BCMCA",-123.5378,48.5426,"HS",NA
"BC","ELEANOR POINT","ELEANOR POINT",NA,"DFO_BCMCA",-123.38424,48.75359,"HS",NA
"BC","ENTRANCE ISLAND","ENTRANCE ISLAND",NA,"DFO_BCMCA",-123.8112,49.2091,"HS",NA
"BC","ENTRANCE TO DRANEY INLET","ENTRANCE TO DRANEY INLET",NA,"PROVINCE OF BC",-127.56379,51.47491,"HS",NA
"BC","ENTRANCE TO OWIKENA LAKE","ENTRANCE TO OWIKENA LAKE",NA,"PROVINCE OF BC",-126.68934,51.66365,"HS",NA
"BC","ESCAPE REEF","ESCAPE REEF",NA,"DFO_BCMCA",-123.6611,48.941,"HS",NA
"BC","ESTEVAN POINT","ESTEVAN POINT",NA,"MANUAL",-126.545,49.383,"SSL","ADDED BY  BW 20200723"
"BC","FABER ISLETS","FABER ISLETS",NA,"DFO_BCMCA",-125.301,48.8929,"HS",NA
"BC","FANE ISLAND","FANE ISLAND",NA,"DFO_BCMCA",-123.2681,48.8076,"HS",NA
"BC","FANNY BAY","FANNY BAY",NA,"ODFW",-124.824,49.51,"SSL",NA
"BC","FARMER ISLETS","FARMER ISLETS",NA,"DFO_BCMCA",-127.66375,50.49353,"HS",NA
"BC","FEGAN ISLETS","FEGAN ISLETS",NA,"DFO_BCMCA",-124.379,49.5297,"HS",NA
"BC","FINNERTY ISLANDS","FINNERTY ISLANDS",NA,"DFO_BCMCA",-124.3912,49.5041,"HS",NA
"BC","FIRE ISLAND","FIRE ISLAND",NA,"DFO_BCMCA",-126.7035,50.65277,"HS",NA
"BC","FIVE FINGER ISLAND","FIVE FINGER ISLAND",NA,"DFO_BCMCA",-123.915,49.2321,"HS",NA
"BC","FLORA ISLET","FLORA ISLET",NA,"DFO_BCMCA",-124.5721,49.5155,"HS",NA
"BC","FLOWER POT ISLAND","FLOWER POT ISLAND",NA,"DFO_BCMCA",-131.6477,52.7868,"HS",NA
"BC","FOG ISLETS","FOG ISLETS",NA,"DFO_BCMCA",-126.685,50.70277,"HS",NA
"BC","FOLGER ISLAND","FOLGER ISLAND",NA,"ODFW",-125.248,48.829,"SSL",NA
"BC","FOSTER ISLAND","FOSTER ISLAND",NA,"DFO_BCMCA",-126.84465,50.70508,"HS",NA
"BC","FOX GRP","FOX GRP",NA,"DFO_BCMCA",-126.59657,50.72882,"HS",NA
"BC","FRASER RIVER","ROBERTS BANK",NA,"WDFW",-123.1962,49.0646,"HS",NA
"BC","FRASER RIVER","SAND HEADS JETTY",NA,"WDFW",-123.3001,49.1068,"CSL",NA
"BC","GABRIOLA REEFS","GABRIOLA REEFS",NA,"DFO_BCMCA",-123.6505,49.1424,"HS",NA
"BC","GALIANO ISLAND","COON BAY",NA,"ODFW",-123.472,48.938,"SSL",NA
"BC","GARCIN ROCKS","GARCIN ROCKS",NA,"DFO_BCMCA",-130.9667,52.2084,"MIXED",NA
"BC","GARRY POINT","GARRY POINT",NA,"DFO_BCMCA",-123.20225,49.12783,"HS",NA
"BC","GEER ISLETS","GEER ISLETS",NA,"DFO_BCMCA",-125.1105,48.9292,"HS",NA
"BC","GERALD ISLAND","GERALD ISLAND",NA,"DFO_BCMCA",-124.165,49.3124,"HS",NA
"BC","GILLATT ISLAND","GILLATT ISLAND",NA,"DFO_BCMCA",-131.9028,53.2435,"HS",NA
"BC","GLIMPSE REEFS","GLIMPSE REEFS",NA,"DFO_BCMCA",-123.376,48.4094,"HS",NA
"BC","GOLDSTREAM ESTUARY","GOLDSTREAM ESTUARY",NA,"DFO_BCMCA",-123.5499,48.4934,"HS",NA
"BC","GORDON ROCK","GORDON ROCK",NA,"DFO_BCMCA",-123.3063,48.4961,"HS",NA
"BC","GOSLING ROCKS","GOSLING ROCKS",NA,"ODFW",-128.45983,51.869,"SSL",NA
"BC","GOSSIP ISLAND","GOSSIP ISLAND",NA,"WDFW",-123.3123,48.8919,"HS",NA
"BC","GOWLLAND HARBOR","GOWLLAND HARBOR",NA,"DFO_BCMCA",-125.24,50.0833,"HS",NA
"BC","GRAPPLER ROCK","GRAPPLER ROCK",NA,"DFO_BCMCA",-123.6011,48.9394,"HS",NA
"BC","GRASSY ISLANDS","GRASSY ISLANDS",NA,"DFO_BCMCA",-127.2515,49.92332,"HS",NA
"BC","GREAT BEAR ROCK","GREAT BEAR ROCK",NA,"DFO_BCMCA",-125.4535,48.8929,"HS",NA
"BC","GREAT CHAIN ISLAND","GREAT CHAIN ISLAND",NA,"DFO_BCMCA",-123.2742,48.4208,"HS",NA
"BC","GREBE ISLETS","GREBE ISLETS",NA,"DFO_BCMCA",-123.27301,49.34156,"HS",NA
"BC","GREEN ROCK","GREEN ROCK",NA,"DFO_BCMCA",-126.67422,50.6697,"HS",NA
"BC","GREENTOP ISLET","GREENTOP ISLET",NA,"DFO_BCMCA",-130.41132,54.17742,"HS",NA
"BC","GREIG ISLAND","GREIG ISLAND",NA,"DFO_BCMCA",-123.3386,48.6787,"HS",NA
"BC","GULL ISLET","GULL ISLET",NA,"DFO_BCMCA",-127.5533,50.0717,"HS",NA
"BC","GUNNER INLET REEF","GUNNER INLET REEF",NA,"DFO_BCMCA",-125.73825,49.15682,"HS",NA
"BC","HALIBUT ISLAND","HALIBUT ISLAND",NA,"DFO_BCMCA",-123.2686,48.6194,"HS",NA
"BC","HALKETT POINT","HALKETT POINT",NA,"DFO_BCMCA",-123.3193,49.4458,"HS",NA
